Fecha,CantidadML,Moneda
"18, Julio, 1973",652.85L,GBP 8451.11
02/04/2000,60.63ml,£1715.08
2022-07-29,1052.37ml,JPY 4433.94
12-11-2014,224.57ml,€9494.55
02/30/1908,469.28ml,$4609.43
"Abr 10, 2017",1567.9L,JPY 6047.57
"Mayo 23, 1921",1628.61L,EUR 1394.39
25-09-1997,1992.44ml,JPY 1056.55
"17, Marzo, 1979",1477.59ml,JPY 8733.08
2014-11-16,1505.23L,€6909.48
10/26/2016,1561.84ml,USD 6272.09
04/13/1966,1860.7ml,£1082.12
"7, Ago, 2008",1199.47ml,EUR 5659.3
02-07-1908,1989.81L,GBP 9335.29
"Abr 16, 2005",1150.46L,$4419.91
"Enero 5, 1971",1735.31ml,USD 1174.12
2018-09-31,779.15ml,€7602.16
"Junio 22, 1900",143.04L,€9971.41
1965-08-04,178.31L,GBP 3485.21
"13, Sep, 1998",1199.46ml,$7598.53
2003-07-02,236.54ml,JPY 5497.56
01/07/1929,1864.28ml,£1551.58
07/16/1959,1534.87ml,JPY 6660.91
2011-07-27,1125.79ml,EUR 1154.77
25-12-1911,1934.77L,€5034.17
03/21/1988,313.95ml,JPY 7445.71
"2, Julio, 2008",810.96ml,USD 6141.96
1907-02-24,1528.02ml,$1996.69
"Nov 22, 1974",808.3L,EUR 2048.72
2016-04-11,91.7ml,JPY 7574.34
"Marzo 3, 1984",1123.84L,USD 2468.7
"Nov 7, 1997",111.63L,$6296.79
04/03/1939,1044.56L,GBP 7599.18
21-12-1900,568.34L,EUR 3968.87
03/18/1951,1128.67ml,EUR 4359.03
1921-06-26,234.63L,$9952.35
14-07-1968,1866.61ml,EUR 77.83
12-02-1930,1285.89L,EUR 2299.4
11/11/1977,1281.35L,¥1164.29
12/12/1998,802.1ml,JPY 3016.43
22-03-1915,1805.61ml,EUR 7328.9
23-05-1951,243.31ml,GBP 7691.2
"23, Ago, 2023",1884.48L,GBP 299.52
29-05-1941,216.71ml,EUR 6803.59
"22, Mayo, 1956",1130.73L,¥4017.05
06/15/1991,963.01ml,GBP 5279.82
1992-11-17,1529.68L,GBP 9103.42
1980-11-08,556.84L,GBP 8055.43
1942-08-08,1299.64L,£1078.6
"Mar 8, 2000",644.55ml,¥7209.52
"May 1, 1943",787.5L,€2416.08
"Sep 6, 1905",383.69ml,EUR 3959.85
06/12/1926,1630.3ml,EUR 5103.37
"14, Feb, 1978",1101.3ml,$2034.99
15-07-1900,100.02ml,USD 4342.96
28-10-2007,805.12L,€540.98
01/23/1986,1677.48ml,JPY 8935.89
12/10/2007,1223.3L,¥747.08
"Abril 9, 1910",192.0ml,$5624.58
12/19/1903,688.33L,EUR 9022.76
"2, Nov, 2018",1378.7ml,¥2227.08
06/27/2009,1169.91ml,USD 6321.15
"15, Agosto, 1998",334.62ml,GBP 2209.29
19-06-1968,885.09ml,USD 7257.94
1930-12-29,1568.15L,¥1829.93
22-11-1991,1021.2L,USD 9276.67
07/05/1961,1679.75ml,£4872.12
11/29/1976,135.85ml,EUR 5272.03
04/13/1956,1939.84ml,JPY 9269.03
1970-08-15,754.02ml,USD 1097.45
2005-12-03,1886.85L,USD 9682.36
26-10-1958,379.66L,EUR 5972.61
"21, Junio, 1924",1769.49L,GBP 2789.93
"28, Ene, 1955",1960.25ml,USD 5577.66
11/20/1989,576.2L,€4378.89
1992-04-17,1843.19L,€5713.27
"1, May, 1955",993.22L,¥5573.97
"Enero 10, 1910",1587.79ml,¥3943.09
"Junio 25, 1936",785.18ml,JPY 3266.63
"25, Feb, 2010",1596.11L,£873.28
06/13/1972,279.69L,USD 7709.26
10/20/1948,1601.76L,GBP 748.02
10/22/1964,222.3L,USD 927.62
1938-09-12,163.61L,USD 1566.08
1981-01-27,569.9ml,USD 6854.61
"Febrero 1, 1983",960.31L,JPY 5742.98
"Mayo 13, 1971",278.0ml,JPY 7596.22
22-05-1929,982.79ml,£1042.04
"19, Ago, 1973",1015.99ml,EUR 5398.21
2020-04-19,1988.46L,£4695.63
"3, Ago, 1943",1157.69L,¥7342.74
"Feb 19, 1935",1700.56ml,JPY 2438.23
"18, Diciembre, 1936",356.5L,€2603.91
"Mayo 15, 1928",1799.87L,€3291.48
"9, Feb, 1967",1316.39L,USD 6694.61
06/23/1918,139.49L,USD 2501.24
09/21/1929,1457.57ml,£2628.98
06/13/1976,122.11L,$1044.3
2018-03-17,1973.82L,USD 4507.48
1943-06-29,1994.6L,GBP 4209.31
1909-01-13,1121.86L,EUR 1944.93
06-10-2001,1144.73L,$5977.08
"Nov 19, 2025",1544.05ml,JPY 5462.72
05-12-1943,1961.24L,€2329.08
18-10-1994,1770.23ml,GBP 1254.73
23-03-1991,605.0L,$6991.77
09-05-2016,1676.66L,EUR 6719.13
"Abril 25, 1946",98.49ml,€3497.47
07/31/1960,652.58L,EUR 9662.04
"Abr 7, 1961",1509.29ml,$3881.78
"Mar 21, 2018",1420.78L,EUR 1166.46
03/05/1952,1314.79L,¥5602.96
08-01-1992,700.43L,€2629.95
09/21/1910,48.83ml,JPY 677.86
"Sep 29, 1947",1360.41L,EUR 5554.24
"25, Dic, 1911",1099.51ml,USD 1096.89
11/05/1960,443.08L,USD 1932.24
13-12-2005,806.65ml,JPY 957.15
10/03/1940,1499.0ml,€4084.11
1934-10-03,1917.85ml,$8730.81
"Marzo 21, 1903",339.09ml,JPY 5171.39
1989-04-02,1027.25ml,GBP 4123.5
"Feb 31, 1915",1178.34L,EUR 7603.29
"21, Dic, 2010",337.6ml,€5532.29
2020-10-06,1640.87L,€9363.32
"Jul 2, 2024",691.42L,JPY 6515.15
"19, Enero, 1904",296.62L,$2500.31
"May 21, 1990",1779.04L,GBP 9623.38
14-08-1976,382.57ml,EUR 2188.44
"Septiembre 2, 1904",1386.49L,€6504.83
1971-02-05,1899.22ml,¥7219.52
"Septiembre 18, 1912",679.28ml,USD 5035.15
"Jul 7, 2022",1158.97L,USD 8306.2
04/16/1975,1693.8ml,€5207.05
"24, Mar, 1933",739.1ml,£6743.85
20-10-1978,812.34L,GBP 3936.71
1957-06-21,1028.04ml,USD 9256.87
2012-02-26,1637.76L,GBP 5793.98
13-12-1996,1723.11ml,GBP 7759.47
"7, Octubre, 2021",226.05ml,EUR 576.61
15-10-1951,552.34ml,£8614.0
"Mar 14, 1925",1433.27L,€2695.8
"7, Abril, 1925",1621.97L,GBP 8871.44
05/23/1923,1847.35L,¥3046.67
"2, Septiembre, 1980",886.25L,JPY 5140.71
"Oct 22, 1965",586.4ml,USD 4707.6
"2, Noviembre, 1969",551.97L,EUR 9849.74
"12, Jul, 1971",1388.06L,€8818.71
1966-12-09,890.61L,£2098.75
1917-07-19,746.42L,¥4669.34
"Junio 25, 2000",1597.61L,$6055.88
22-02-1908,256.18ml,GBP 6103.08
"Mayo 7, 2011",1545.58L,JPY 8876.91
15-11-1976,1258.84L,USD 3088.76
07/31/1993,1012.08L,¥4007.6
29-02-1958,1719.7ml,$6822.97
03/01/1959,875.85L,£4032.37
"Enero 20, 2013",113.83L,€3984.15
05-06-1992,872.2L,USD 5985.08
"19, Feb, 1928",315.73L,£4105.28
"18, Junio, 2024",1919.84L,GBP 2659.51
08/15/2006,877.93L,USD 5999.63
"Ene 17, 1996",197.02ml,$1254.49
10/02/2001,1603.3ml,¥901.9
"Jul 23, 1979",1992.86ml,USD 9304.25
1992-11-20,1714.85L,¥5341.75
15-02-1989,1541.03L,EUR 4504.82
1974-10-12,1309.23L,EUR 1573.71
1938-03-09,79.95ml,$6381.79
"Marzo 6, 1978",1570.65L,GBP 5097.43
"May 3, 1936",568.22L,GBP 2487.57
02/11/1998,722.13ml,£2754.99
02/09/1992,1636.56L,GBP 935.54
"30, Junio, 1979",1659.32L,$8532.9
09-10-1920,1840.43ml,USD 7559.12
"Marzo 25, 1974",1898.03ml,£5882.26
2021-02-02,1397.41L,€3182.37
"Jun 25, 1902",475.22ml,¥7649.31
"Octubre 18, 1925",379.49ml,¥6923.76
"Feb 16, 1933",1106.51ml,EUR 963.18
03/17/1976,1280.65ml,£2377.86
05/07/1907,102.15ml,JPY 7037.25
"26, Mayo, 1952",765.52L,€3436.77
1997-03-05,1320.83L,€4772.17
"14, Sep, 1958",652.67ml,GBP 4962.19
12/22/2007,815.35L,$3513.21
28-01-1998,1219.17L,€3559.28
09/07/1900,825.64ml,EUR 2459.2
02-03-1962,399.22ml,¥8751.41
"4, Mayo, 2011",1874.09L,$681.8
01/14/1963,1200.65L,GBP 368.27
"Noviembre 16, 1916",1383.58L,USD 4936.59
"Mayo 25, 2019",1294.96ml,EUR 708.6
"Jul 25, 1980",303.84L,USD 6681.39
02-02-2021,200.24L,£5757.27
"Agosto 25, 1984",189.8ml,€8494.53
07/28/1996,1455.34ml,EUR 2773.3
02/12/1916,1693.68ml,£9079.47
1955-01-05,1493.62L,USD 867.47
2008-06-02,178.07L,JPY 6812.28
"Ene 25, 1948",859.87L,GBP 9414.93
26-05-1999,1973.63ml,GBP 6097.03
03/02/1963,739.07L,USD 3426.98
"29, Mar, 1987",1041.46ml,GBP 2952.25
"27, Octubre, 1925",1787.99ml,£9240.7
"16, Ene, 1995",1646.01ml,EUR 3325.65
26-06-1909,435.9ml,GBP 4921.26
"Mayo 16, 1992",1407.7L,¥3307.59
"Dic 28, 1941",1410.39L,USD 9248.77
08/24/1973,530.68L,GBP 436.12
08-04-1944,206.25ml,€1489.45
"Dic 8, 2014",633.39ml,$3817.19
01/07/1968,61.11L,$1218.57
12-09-1940,120.41L,£6203.35
03-01-1940,801.59L,£8780.37
1907-11-23,1721.55L,£1716.43
18-03-1983,102.07L,$9478.28
"Febrero 20, 2000",1392.04L,£5299.56
"Junio 31, 1931",1484.43L,EUR 2057.2
"7, Nov, 1935",1298.72ml,GBP 5939.62
"Noviembre 29, 2010",472.39L,USD 1830.25
1958-02-08,1358.43ml,USD 9412.86
10-08-1991,1225.03L,JPY 229.28
1981-03-26,1216.7L,EUR 3910.89
"Mar 20, 1923",1514.84L,¥5563.95
07/21/1968,1833.07ml,€7420.68
10/23/2016,106.57L,EUR 2697.78
15-12-2013,417.22ml,$8194.73
18-11-1940,1984.39ml,GBP 4907.9
"Agosto 14, 1914",974.88L,£6213.28
08/23/2025,679.08ml,USD 1298.22
2013-07-13,467.51L,JPY 5099.52
"31, Enero, 2000",239.3L,$8820.42
1912-07-29,360.97L,EUR 83.94
"16, Marzo, 1983",1972.37ml,€2428.15
06/06/1950,1069.51ml,€1811.33
1902-12-21,1931.51ml,USD 2690.13
"1, Junio, 1970",1367.52L,$5440.14
"7, Nov, 1974",250.07ml,£1722.88
25-03-1974,1310.41ml,USD 4430.8
14-10-1976,799.54ml,£6248.55
"29, Dic, 2021",324.57L,EUR 6587.43
1994-10-08,1036.14L,JPY 9632.54
"Abr 3, 1914",1586.97L,GBP 6372.04
09-11-1979,979.8ml,EUR 5895.42
"11, Jul, 1943",37.36ml,€9921.59
2014-08-06,1338.44L,EUR 1245.85
"11, Jul, 2021",1673.85L,$8948.0
11/07/2011,591.69L,USD 5788.19
"19, Dic, 2021",63.46ml,EUR 6978.14
"May 8, 1905",1665.51L,GBP 5981.89
"Agosto 2, 1967",792.09ml,¥2428.06
1922-01-05,710.37ml,JPY 352.07
"Febrero 24, 1900",1995.84L,¥5824.55
"5, Abril, 2018",387.24ml,$5643.35
1945-05-16,833.28L,¥3991.56
07/15/1905,1503.05ml,$5186.24
20-08-1952,1418.29ml,$6361.23
15-09-1966,1532.16L,EUR 7752.69
1923-12-07,1734.05L,USD 1958.09
1916-01-24,640.23ml,£6409.08
04-05-2000,85.2L,$4906.11
1943-01-29,535.95ml,JPY 8928.11
"16, Mar, 2000",1261.06ml,GBP 1445.36
11-09-2008,63.07ml,JPY 1199.14
22-02-2012,1353.75L,USD 993.65
07/26/1989,1940.39L,GBP 9938.7
1969-06-04,1750.43L,£291.23
24-09-1963,1067.28L,€5744.85
2020-12-04,1892.09L,¥2765.59
11-03-1963,521.2ml,€5985.61
"Agosto 30, 1934",686.79L,£3162.35
1970-12-08,1407.64ml,GBP 8935.96
1977-07-02,943.72ml,€7920.19
"7, Marzo, 1966",1914.21L,£2010.6
"3, Jun, 1993",1147.91L,USD 5325.08
"Ago 20, 1946",206.09L,$1103.08
17-09-1976,345.44ml,$3931.87
1922-06-13,115.9ml,EUR 8478.38
07/21/1984,927.52ml,GBP 2199.97
1940-09-03,497.65ml,$2218.81
04/31/2024,1581.16L,$49.69
03/28/1907,626.2L,€5894.09
01-07-1994,342.36L,GBP 9648.48
"11, Mayo, 1966",338.02ml,£2775.63
2002-03-02,207.48ml,¥7338.74
"Octubre 19, 1948",1654.77ml,£4123.49
2006-08-27,681.83L,JPY 3098.27
"8, Abr, 1911",1429.84L,USD 6139.18
13-01-1986,1319.64ml,USD 4276.01
05/22/1942,256.72ml,£4077.78
"Noviembre 3, 1956",1072.7ml,JPY 2066.72
1909-02-27,909.03ml,GBP 6780.36
1923-03-19,1167.64L,£7630.66
"Ago 3, 1931",1619.7L,USD 8065.86
10/12/2016,1102.2ml,$6751.37
1948-01-06,122.91ml,$2035.27
"13, May, 1933",557.72ml,JPY 6236.92
1903-03-25,578.47L,USD 6953.79
25-11-1911,515.43L,JPY 7459.57
1941-07-12,671.26ml,£8667.53
"2, Noviembre, 1980",1670.34ml,EUR 400.14
09/29/1947,1780.0L,EUR 3219.83
"Jul 21, 1912",170.93L,JPY 1377.31
"Ene 13, 2015",476.04ml,€5325.03
06/07/1911,465.69ml,€3917.69
09-04-1921,1085.53ml,EUR 6328.99
"11, Mayo, 1982",593.0L,€7117.59
"16, Marzo, 1975",1909.61L,USD 3527.54
07/16/1984,119.19L,USD 7219.99
"Nov 19, 1983",1236.3L,€1426.37
"16, Oct, 1968",1361.37L,€6551.65
"Jul 4, 1992",1568.07ml,USD 2392.47
05-06-1933,691.9L,¥3258.19
1915-02-14,1384.28L,€4499.23
"14, Mar, 1907",558.59ml,USD 5048.65
07/03/1989,516.57ml,€8533.44
05-08-1978,1041.69ml,€2646.27
09/17/2025,863.05ml,¥5103.99
"16, Febrero, 1940",1203.25ml,€2157.98
2007-12-07,1848.76L,$7114.04
"Noviembre 7, 1933",1717.32L,£5664.1
"25, Mayo, 2014",481.21L,¥2063.06
15-07-1989,1556.33ml,€3850.46
06/07/1961,1419.1ml,£1850.19
1987-06-09,1414.18L,£5081.16
"Febrero 27, 1970",1401.88L,€3346.66
"14, Dic, 1937",185.25ml,JPY 1632.78
06/22/1967,879.14ml,JPY 8350.88
"Ene 18, 1980",1292.17L,¥5665.44
"Octubre 19, 1916",285.69ml,GBP 4093.3
"16, Julio, 1991",1845.03L,EUR 6123.23
05/22/1992,1642.16L,JPY 7247.27
2005-11-23,1806.43L,EUR 7057.5
31-06-1977,1316.45ml,EUR 3064.4
"1, Oct, 1987",325.6L,€6887.88
1900-01-11,1121.1ml,EUR 3549.18
"13, Noviembre, 1932",1932.78L,¥8219.44
"2, Julio, 2019",1525.21L,£6548.79
"Mayo 8, 1902",1892.23L,€8685.43
03/05/2000,175.09ml,$947.31
09-02-1920,741.96ml,£7501.83
09/28/1954,1422.02ml,JPY 6530.72
08/06/1990,1104.19L,£391.55
"23, Marzo, 1941",1701.55L,EUR 9753.28
"Abril 2, 1978",726.18L,JPY 2134.1
"4, Junio, 1900",221.24L,GBP 6027.89
"Julio 6, 1995",720.82L,$9227.53
02-05-1938,1322.95ml,¥5485.67
30-11-1965,1753.8L,$6168.08
1919-09-23,1045.09ml,¥240.46
05-01-1961,1737.02ml,€5963.8
"22, Octubre, 1925",1915.08ml,$9385.48
"Oct 2, 1930",1877.05L,¥7963.7
"22, Marzo, 1996",1610.61L,¥4377.18
"25, Enero, 1945",224.59ml,GBP 243.77
11/15/1933,140.35ml,GBP 6951.37
18-07-2001,491.38ml,JPY 6804.69
"Sep 21, 2025",1820.69ml,$8597.76
2020-12-03,1982.31ml,€7754.02
"12, Dic, 2009",524.66ml,JPY 752.59
1998-04-11,669.27L,GBP 3326.05
05/19/1905,1410.56L,€1187.17
"5, Noviembre, 1934",499.83ml,JPY 5161.2
"4, Jul, 1953",376.2L,JPY 2272.19
01-11-1915,1263.12L,¥1185.76
"16, Dic, 1966",560.45ml,EUR 7747.1
04-08-1900,59.0ml,¥3481.4
"16, Mayo, 1964",436.1ml,¥7344.44
"15, Jun, 1959",1483.16L,EUR 9575.48
"Ene 19, 1905",1570.62L,$2485.04
25-08-2021,791.35ml,$7095.55
"17, Febrero, 2001",1774.47L,JPY 8033.01
1944-12-28,1430.36L,¥4988.26
"Septiembre 28, 1923",31.64ml,€979.66
"16, Ago, 1925",1106.52L,¥4795.67
07-05-1984,981.43L,EUR 1922.79
"27, Enero, 1925",14.62ml,JPY 9220.96
03/05/1914,13.97ml,USD 5463.57
12-04-1955,1294.02L,GBP 3472.15
"11, Jul, 1944",439.01L,$5303.48
"4, Ene, 1933",697.39L,£8319.7
08/31/1997,369.96L,USD 3471.1
"2, Ene, 1995",1154.02L,GBP 9039.71
1959-08-14,73.32ml,£4070.46
02/25/1958,962.84L,USD 8952.01
12/27/1957,1179.6L,$2863.16
"27, May, 1982",523.15ml,€152.19
"Ago 7, 1962",759.43ml,$684.89
10/31/1993,628.7L,£7915.23
2023-09-18,77.08L,$9426.87
04-08-1902,419.69ml,¥3623.46
"Abril 4, 1980",1542.74L,£2732.42
"18, Febrero, 1958",304.26L,¥8390.02
"7, Ago, 1901",1212.27L,$556.75
"Dic 11, 1933",5.46ml,$5581.13
"15, Diciembre, 1920",245.19ml,JPY 321.12
1951-12-10,1312.74L,GBP 6465.89
04-12-1944,803.1ml,£6159.54
1995-09-13,1271.41ml,$7111.82
08-10-1968,686.44L,GBP 8966.09
03/14/2022,179.22ml,EUR 1070.72
31-01-1972,224.51ml,EUR 9282.65
"Jun 16, 1957",1281.83L,€9767.63
"Septiembre 27, 1987",775.5L,USD 2474.22
1983-06-22,1268.23ml,USD 6707.07
"Febrero 24, 2020",1998.09L,€474.01
"16, Dic, 1934",1260.33L,JPY 8745.36
"25, May, 1910",639.68ml,GBP 8833.63
09/22/1926,1167.16L,EUR 5771.64
"25, Junio, 1979",565.4L,EUR 6429.73
12/25/1929,1176.11L,£6501.64
"18, Dic, 2025",1197.05L,¥4357.06
"18, Dic, 2004",646.02L,JPY 4626.21
21-05-1908,1234.34ml,£2027.24
"9, Jun, 2013",876.13ml,JPY 6192.86
12/17/1991,1798.39ml,EUR 7249.74
18-09-1950,999.21ml,USD 6379.59
"May 19, 1988",1409.56L,GBP 2544.12
07/13/1988,1491.41ml,€6645.48
"Oct 19, 1958",1736.79ml,JPY 9739.92
21-05-1942,1745.52L,GBP 9135.64
1928-05-30,930.52ml,$528.71
"3, Sep, 1917",1351.34ml,¥5839.5
2015-09-17,996.55L,JPY 8403.31
2006-07-18,688.01ml,EUR 6805.89
1923-03-04,44.3L,£4921.94
03/18/2016,995.73ml,USD 5624.69
08/28/2004,1071.38ml,¥1941.04
"Oct 30, 1983",1540.58L,¥8247.58
11/16/1963,1290.54L,¥4326.74
04/19/1908,1746.72ml,€2118.02
"Octubre 20, 1971",1962.61ml,¥843.65
2009-03-13,719.4L,EUR 9132.31
1906-07-20,633.22ml,EUR 8216.99
09/06/1942,212.98ml,$7553.47
06/15/1938,1936.43L,$6633.65
21-12-1941,1778.41L,€1622.8
17-05-1914,1155.68ml,JPY 5729.82
03/06/2021,997.97L,$5327.18
10-03-1949,8.36L,¥6786.34
11-03-2014,1063.92ml,GBP 3629.29
15-08-1969,1788.58ml,EUR 1205.1
1924-07-07,88.54L,$4190.88
29-12-1900,1948.74ml,EUR 3807.51
"Mayo 14, 2023",1689.97ml,EUR 6615.25
09-02-1931,943.41ml,USD 5788.95
"Mar 14, 1970",1042.59L,USD 7096.33
10/16/2022,1188.21L,$2001.54
1986-04-08,910.45ml,¥4585.41
09/14/1912,1715.47L,JPY 9665.5
"Junio 13, 1980",646.92ml,EUR 3605.12
04/02/1938,1979.17ml,EUR 4800.94
1975-12-10,685.31L,¥320.26
"29, Feb, 1966",335.95L,EUR 3139.66
"29, May, 1996",1399.27ml,¥3337.1
"Diciembre 31, 1982",228.46ml,€8009.11
"Julio 25, 2019",494.16ml,$1969.05
1933-05-08,367.24L,¥1338.48
27-12-1977,23.24L,¥5889.24
03/10/1978,919.31ml,£8797.5
1925-03-01,1181.02L,USD 2477.97
"14, Oct, 2019",1624.77ml,£7312.93
"Febrero 1, 1915",96.55ml,JPY 7123.32
08-07-1910,1387.81ml,JPY 6375.63
1992-03-16,1948.54L,¥8375.32
"Abril 18, 1950",224.87L,$7655.2
"Ene 4, 1962",1126.1L,USD 5087.02
10/29/1954,16.43L,JPY 6676.47
1968-11-07,1014.89ml,£448.13
1980-04-08,1590.8ml,GBP 8594.72
11/30/1918,190.7ml,€6863.33
2019-09-30,564.83L,USD 8562.74
11/30/1977,312.13ml,JPY 7892.61
1951-01-17,66.84ml,JPY 1156.82
01-01-2022,543.32L,¥9122.45
28-09-1959,1489.47L,€6213.24
"13, Jul, 1996",992.72L,$8506.8
09/06/1967,1519.83ml,EUR 2396.67
08/30/1927,1030.22ml,EUR 6647.58
"Mar 4, 1918",270.55ml,GBP 8315.63
03-02-2017,1000.12L,$2714.33
26-08-2002,545.74L,USD 5692.42
"Septiembre 14, 1985",899.41ml,JPY 9136.68
04/12/2019,1661.85L,USD 344.18
29-02-1925,1908.48L,USD 8902.13
21-11-2018,1506.14L,USD 6409.28
"Jun 16, 1994",338.8ml,USD 7532.72
1912-06-29,303.41L,USD 8827.56
